OldInternal,NewInternal,Kind
ap/b,l1r/ap/L1AuctionBoardInstance,TOP_LEVEL
ap/c,l1r/ap/L1BoardInstance,TOP_LEVEL
ap/d,l1r/ap/L1CrownInstance,TOP_LEVEL
ap/e,l1r/ap/L1DollInstance,TOP_LEVEL
ap/e$a,l1r/ap/L1DollInstance$a,INNER
ap/e$b,l1r/ap/L1DollInstance$b,INNER
ap/f,l1r/ap/L1DoorInstance,TOP_LEVEL
ap/g,l1r/ap/L1DotaInstance,TOP_LEVEL
ap/h,l1r/ap/L1EffectInstance,TOP_LEVEL
ap/h$a,l1r/ap/L1EffectInstance$a,INNER
ap/h$b,l1r/ap/L1EffectInstance$b,INNER
ap/h$c,l1r/ap/L1EffectInstance$c,INNER
ap/i,l1r/ap/L1FieldObjectInstance,TOP_LEVEL
ap/i$a,l1r/ap/L1FieldObjectInstance$a,INNER
ap/j,l1r/ap/L1FishInstance,TOP_LEVEL
ap/j$a,l1r/ap/L1FishInstance$a,INNER
ap/k,l1r/ap/L1FollowerInstance,TOP_LEVEL
ap/l,l1r/ap/L1FurnitureInstance,TOP_LEVEL
ap/m,l1r/ap/L1GfxInstance,TOP_LEVEL
ap/m$a,l1r/ap/L1GfxInstance$a,INNER
ap/n,l1r/ap/L1GuardInstance,TOP_LEVEL
ap/n$a,l1r/ap/L1GuardInstance$a,INNER
ap/o,l1r/ap/L1GuardianInstance,TOP_LEVEL
ap/o$a,l1r/ap/L1GuardianInstance$a,INNER
ap/o$b,l1r/ap/L1GuardianInstance$b,INNER
ap/p,l1r/ap/L1HousekeeperInstance,TOP_LEVEL
ap/q,l1r/ap/L1ItemInstance,TOP_LEVEL
ap/q$a,l1r/ap/L1ItemInstance$a,INNER
ap/q$b,l1r/ap/L1ItemInstance$b,INNER
ap/q$c,l1r/ap/L1ItemInstance$c,INNER
ap/r,l1r/ap/L1KeeperInstance,TOP_LEVEL
ap/s,l1r/ap/L1MonsterInstance,TOP_LEVEL
ap/s$a,l1r/ap/L1MonsterInstance$a,INNER
ap/t,l1r/ap/L1NpcInstance,TOP_LEVEL
ap/t$a,l1r/ap/L1NpcInstance$a,INNER
ap/t$b,l1r/ap/L1NpcInstance$b,INNER
ap/t$c,l1r/ap/L1NpcInstance$c,INNER
ap/t$d,l1r/ap/L1NpcInstance$d,INNER
ap/t$e,l1r/ap/L1NpcInstance$e,INNER
ap/t$f,l1r/ap/L1NpcInstance$f,INNER
ap/t$g,l1r/ap/L1NpcInstance$g,INNER
ap/u,l1r/ap/L1PcInstance,TOP_LEVEL
ap/u$a,l1r/ap/L1PcInstance$a,INNER
ap/u$b,l1r/ap/L1PcInstance$b,INNER
ap/u$c,l1r/ap/L1PcInstance$c,INNER
ap/v,l1r/ap/L1PetInstance,TOP_LEVEL
ap/v$a,l1r/ap/L1PetInstance$a,INNER
ap/w,l1r/ap/L1QuestInstance,TOP_LEVEL
ap/x,l1r/ap/L1ScarecrowInstance,TOP_LEVEL
ap/y,l1r/ap/L1SignboardInstance,TOP_LEVEL
ap/z,l1r/ap/L1SummonInstance,TOP_LEVEL
ap/z$a,l1r/ap/L1SummonInstance$a,INNER
aq/a,l1r/aq/L1AdenTelData,TOP_LEVEL
aq/aa,l1r/aq/L1Object,TOP_LEVEL
aq/ab,l1r/aq/L1Paralysis,TOP_LEVEL
aq/ab$a,l1r/aq/L1Paralysis$a,INNER
aq/ab$b,l1r/aq/L1Paralysis$b,INNER
aq/ac,l1r/aq/L1Party,TOP_LEVEL
aq/ac$a,l1r/aq/L1Party$a,INNER
aq/ad,l1r/aq/L1PinkName,TOP_LEVEL
aq/ad$a,l1r/aq/L1PinkName$a,INNER
aq/ae,l1r/aq/L1PolyMorph,TOP_LEVEL
aq/af,l1r/aq/L1Quest,TOP_LEVEL
aq/ag,l1r/aq/L1Spawn,TOP_LEVEL
aq/ag$a,l1r/aq/L1Spawn$a,INNER
aq/ah,l1r/aq/L1SpawnBoss,TOP_LEVEL
aq/ah$a,l1r/aq/L1SpawnBoss$a,INNER
aq/ai,l1r/aq/L1SpawnEffect,TOP_LEVEL
aq/aj,l1r/aq/L1SpawnWar,TOP_LEVEL
aq/ak,l1r/aq/L1SpeedChecker,TOP_LEVEL
aq/ak$a,l1r/aq/L1SpeedChecker$a,INNER
aq/al,l1r/aq/L1TaxCalculator,TOP_LEVEL
aq/am,l1r/aq/L1Teleport,TOP_LEVEL
aq/an,l1r/aq/L1TownLocation,TOP_LEVEL
aq/ao,l1r/aq/L1Trade,TOP_LEVEL
aq/ap,l1r/aq/L1War,TOP_LEVEL
aq/ap$a,l1r/aq/L1War$a,INNER
aq/ap$b,l1r/aq/L1War$b,INNER
aq/aq,l1r/aq/L1World,TOP_LEVEL
aq/b,l1r/aq/L1Alchemy,TOP_LEVEL
aq/c,l1r/aq/L1Attack,TOP_LEVEL
aq/d,l1r/aq/L1Buddy,TOP_LEVEL
aq/e,l1r/aq/L1CastleLocation,TOP_LEVEL
aq/e$a,l1r/aq/L1CastleLocation$a,INNER
aq/f,l1r/aq/L1Character,TOP_LEVEL
aq/g,l1r/aq/L1Chat,TOP_LEVEL
aq/h,l1r/aq/L1ChatParty,TOP_LEVEL
aq/i,l1r/aq/L1Clan,TOP_LEVEL
aq/j,l1r/aq/L1Cooking,TOP_LEVEL
aq/k,l1r/aq/L1Craft,TOP_LEVEL
aq/l,l1r/aq/L1Dungeon,TOP_LEVEL
aq/l$a,l1r/aq/L1Dungeon$a,INNER
aq/l$b,l1r/aq/L1Dungeon$b,INNER
aq/m,l1r/aq/L1EquipmentSlot,TOP_LEVEL
aq/n,l1r/aq/L1ExcludingList,TOP_LEVEL
aq/o,l1r/aq/L1Getback,TOP_LEVEL
aq/p,l1r/aq/L1GuardianSoul,TOP_LEVEL
aq/p$a,l1r/aq/L1GuardianSoul$a,INNER
aq/q,l1r/aq/L1HateList,TOP_LEVEL
aq/q$a,l1r/aq/L1HateList$a,INNER
aq/r,l1r/aq/L1HouseLocation,TOP_LEVEL
aq/s,l1r/aq/L1ItemQuestBuff,TOP_LEVEL
aq/t,l1r/aq/L1Karma,TOP_LEVEL
aq/u,l1r/aq/L1Location,TOP_LEVEL
aq/v,l1r/aq/L1LoginCharList,TOP_LEVEL
aq/w,l1r/aq/L1Magic,TOP_LEVEL
aq/x,l1r/aq/L1Master,TOP_LEVEL
aq/y,l1r/aq/L1MobGroupInfo,TOP_LEVEL
aq/z,l1r/aq/L1NpcTalkData,TOP_LEVEL
ar/a,l1r/ar/L1ClassFeature,TOP_LEVEL
ar/b,l1r/ar/L1DarkElfClassFeature,TOP_LEVEL
ar/c,l1r/ar/L1DragonKnightClassFeature,TOP_LEVEL
ar/d,l1r/ar/L1ElfClassFeature,TOP_LEVEL
ar/e,l1r/ar/L1IllusionistClassFeature,TOP_LEVEL
ar/f,l1r/ar/L1KnightClassFeature,TOP_LEVEL
ar/g,l1r/ar/L1RoyalClassFeature,TOP_LEVEL
ar/h,l1r/ar/L1WarriorClassFeature,TOP_LEVEL
ar/i,l1r/ar/L1WizardClassFeature,TOP_LEVEL
as/a,l1r/as/L1BugBearRace,TOP_LEVEL
as/a$a,l1r/as/L1BugBearRace$a,INNER
as/a$b,l1r/as/L1BugBearRace$b,INNER
as/a$c,l1r/as/L1BugBearRace$c,INNER
as/a$d,l1r/as/L1BugBearRace$d,INNER
as/b,l1r/as/L1CastleWar,TOP_LEVEL
as/b$a,l1r/as/L1CastleWar$a,INNER
as/c,l1r/as/L1CentralTemple,TOP_LEVEL
as/c$a,l1r/as/L1CentralTemple$a,INNER
as/d,l1r/as/L1Dragon,TOP_LEVEL
as/d$a,l1r/as/L1Dragon$a,INNER
as/e,l1r/as/L1HardinBattle,TOP_LEVEL
as/e$a,l1r/as/L1HardinBattle$a,INNER
as/f,l1r/as/L1IceQueen,TOP_LEVEL
as/f$a,l1r/as/L1IceQueen$a,INNER
as/g,l1r/as/L1OrimBattle,TOP_LEVEL
as/g$a,l1r/as/L1OrimBattle$a,INNER
as/h,l1r/as/L1SoulStone,TOP_LEVEL
as/h$a,l1r/as/L1SoulStone$a,INNER
as/i,l1r/as/L1SoulTower,TOP_LEVEL
as/i$a,l1r/as/L1SoulTower$a,INNER
as/j,l1r/as/L1ThebesBattle,TOP_LEVEL
as/j$1,l1r/as/L1ThebesBattle$1,INNER
as/j$2,l1r/as/L1ThebesBattle$2,INNER
as/j$3,l1r/as/L1ThebesBattle$3,INNER
as/j$a,l1r/as/L1ThebesBattle$a,INNER
as/j$b,l1r/as/L1ThebesBattle$b,INNER
as/j$c,l1r/as/L1ThebesBattle$c,INNER
as/j$d,l1r/as/L1ThebesBattle$d,INNER
as/j$e,l1r/as/L1ThebesBattle$e,INNER
as/j$f,l1r/as/L1ThebesBattle$f,INNER
as/j$g,l1r/as/L1ThebesBattle$g,INNER
as/k,l1r/as/L1ValakasLair,TOP_LEVEL
as/k$a,l1r/as/L1ValakasLair$a,INNER
at/a,l1r/at/L1GameTime,TOP_LEVEL
at/b,l1r/at/L1GameTimeAdapter,TOP_LEVEL
at/c,l1r/at/L1GameTimeClock,TOP_LEVEL
at/c$a,l1r/at/L1GameTimeClock$a,INNER
at/d,l1r/at/L1GameTimeListener,TOP_LEVEL
au/a,l1r/au/L1AccountInventory,TOP_LEVEL
au/b,l1r/au/L1CharInventory,TOP_LEVEL
au/c,l1r/au/L1ClanInventory,TOP_LEVEL
au/d,l1r/au/L1ElvenInventory,TOP_LEVEL
au/e,l1r/au/L1GroundInventory,TOP_LEVEL
au/f,l1r/au/L1Inventory,TOP_LEVEL
au/f$a,l1r/au/L1Inventory$a,INNER
au/g,l1r/au/L1PcInventory,TOP_LEVEL
av/a,l1r/av/L1ItemDelay,TOP_LEVEL
av/a$a,l1r/av/L1ItemDelay$a,INNER
aw/a,l1r/aw/Enchant,TOP_LEVEL
aw/b,l1r/aw/FurnitureItem,TOP_LEVEL
aw/c,l1r/aw/MagicDoll,TOP_LEVEL
aw/d,l1r/aw/Potion,TOP_LEVEL
ax/a,l1r/ax/CachedMapReader,TOP_LEVEL
ax/b,l1r/ax/L1Map,TOP_LEVEL
ax/c,l1r/ax/L1MapArea,TOP_LEVEL
ax/d,l1r/ax/L1WorldMap,TOP_LEVEL
ax/e,l1r/ax/MapReader,TOP_LEVEL
ax/f,l1r/ax/TextMapReader,TOP_LEVEL
ay/a,l1r/ay/L1PcAtkMonitor,TOP_LEVEL
ay/b,l1r/ay/L1PcAutoUpdate,TOP_LEVEL
ay/c,l1r/ay/L1PcEinMonitor,TOP_LEVEL
ay/d,l1r/ay/L1PcExpMonitor,TOP_LEVEL
ay/e,l1r/ay/L1PcInvisDelay,TOP_LEVEL
ay/f,l1r/ay/L1PcMonitor,TOP_LEVEL
az/a,l1r/az/L1DamagePoison,TOP_LEVEL
az/a$a,l1r/az/L1DamagePoison$a,INNER
az/b,l1r/az/L1ParalysisPoison,TOP_LEVEL
az/b$a,l1r/az/L1ParalysisPoison$a,INNER
az/b$b,l1r/az/L1ParalysisPoison$b,INNER
az/c,l1r/az/L1Poison,TOP_LEVEL
az/d,l1r/az/L1SilencePoison,TOP_LEVEL
ba/a,l1r/ba/AnnounceTimer,TOP_LEVEL
ba/a$a,l1r/ba/AnnounceTimer$a,INNER
ba/b,l1r/ba/ClearGroundTimer,TOP_LEVEL
ba/b$a,l1r/ba/ClearGroundTimer$a,INNER
ba/c,l1r/ba/ClientAliveTimer,TOP_LEVEL
ba/c$a,l1r/ba/ClientAliveTimer$a,INNER
ba/d,l1r/ba/CurrentTimeReseter,TOP_LEVEL
ba/d$a,l1r/ba/CurrentTimeReseter$a,INNER
ba/d$b,l1r/ba/CurrentTimeReseter$b,INNER
ba/d$c,l1r/ba/CurrentTimeReseter$c,INNER
ba/e,l1r/ba/ElementalStoneTimer,TOP_LEVEL
ba/f,l1r/ba/FieldLightTimer,TOP_LEVEL
ba/g,l1r/ba/HellTimer,TOP_LEVEL
ba/g$a,l1r/ba/HellTimer$a,INNER
ba/h,l1r/ba/HomeTownTimer,TOP_LEVEL
ba/h$a,l1r/ba/HomeTownTimer$a,INNER
ba/i,l1r/ba/HouseTimer,TOP_LEVEL
ba/i$a,l1r/ba/HouseTimer$a,INNER
ba/j,l1r/ba/InventoryTimer,TOP_LEVEL
ba/j$a,l1r/ba/InventoryTimer$a,INNER
bb/a,l1r/bb/CubeEffectTimer,TOP_LEVEL
bb/b,l1r/bb/NpcChatTimer,TOP_LEVEL
bc/a,l1r/bc/FishingTimer,TOP_LEVEL
bc/a$a,l1r/bc/FishingTimer$a,INNER
bc/b,l1r/bc/HpRegenerationTimer,TOP_LEVEL
bc/c,l1r/bc/MpRegenerationTimer,TOP_LEVEL
bc/d,l1r/bc/ShiftLoginTimer,TOP_LEVEL
bc/e,l1r/bc/WeaponChaserTimer,TOP_LEVEL
bd/a,l1r/bd/L1Trap__obf_a,TOP_LEVEL
bd/b,l1r/bd/L1DamageTrap,TOP_LEVEL
bd/c,l1r/bd/L1HealingTrap,TOP_LEVEL
bd/d,l1r/bd/L1MonsterTrap,TOP_LEVEL
bd/e,l1r/bd/L1Trap__obf_e,TOP_LEVEL
bd/f,l1r/bd/L1PoisonTrap,TOP_LEVEL
bd/g,l1r/bd/L1SkillTrap,TOP_LEVEL
bd/h,l1r/bd/L1TeleportTrap,TOP_LEVEL
bd/i,l1r/bd/L1Trap__obf_i,TOP_LEVEL
bd/j,l1r/bd/TrapStorage,TOP_LEVEL
be/a,l1r/be/S_Ability,TOP_LEVEL
be/aa,l1r/be/S_CharacterConfig,TOP_LEVEL
be/ab,l1r/be/S_ChatPacket,TOP_LEVEL
be/ac,l1r/be/S_ClanName,TOP_LEVEL
be/ad,l1r/be/S_CurseBlind,TOP_LEVEL
be/ae,l1r/be/S_DelSkill,TOP_LEVEL
be/af,l1r/be/S_DeleteCharOK,TOP_LEVEL
be/ag,l1r/be/S_DeleteInventoryItem,TOP_LEVEL
be/ah,l1r/be/S_Deposit,TOP_LEVEL
be/ai,l1r/be/S_Dexup,TOP_LEVEL
be/aj,l1r/be/S_Disconnect,TOP_LEVEL
be/ak,l1r/be/S_DoActionGFX,TOP_LEVEL
be/al,l1r/be/S_DoActionShop,TOP_LEVEL
be/am,l1r/be/S_DollPack,TOP_LEVEL
be/an,l1r/be/S_DoorPack,TOP_LEVEL
be/ao,l1r/be/S_Drawal,TOP_LEVEL
be/ap,l1r/be/S_DropItemPack,TOP_LEVEL
be/aq,l1r/be/S_EffectLocation,TOP_LEVEL
be/ar,l1r/be/S_Emblem,TOP_LEVEL
be/as,l1r/be/S_EquipmentSlot,TOP_LEVEL
be/at,l1r/be/S_Extended,TOP_LEVEL
be/au,l1r/be/S_Fight,TOP_LEVEL
be/av,l1r/be/S_Fishing,TOP_LEVEL
be/aw,l1r/be/S_FixWeaponList,TOP_LEVEL
be/ax,l1r/be/S_FollowerPack,TOP_LEVEL
be/ay,l1r/be/S_GameTime,TOP_LEVEL
be/az,l1r/be/S_HPMeter,TOP_LEVEL
be/b,l1r/be/S_ActiveSpells,TOP_LEVEL
be/ba,l1r/be/S_HPUpdate,TOP_LEVEL
be/bb,l1r/be/S_HouseMap,TOP_LEVEL
be/bc,l1r/be/S_HowManyKey,TOP_LEVEL
be/bd,l1r/be/S_HowManyMake,TOP_LEVEL
be/be,l1r/be/S_Html,TOP_LEVEL
be/bf,l1r/be/S_IdentifyDesc,TOP_LEVEL
be/bg,l1r/be/S_InitAbility,TOP_LEVEL
be/bh,l1r/be/S_InvList,TOP_LEVEL
be/bi,l1r/be/S_Invis,TOP_LEVEL
be/bj,l1r/be/S_ItemAttribute,TOP_LEVEL
be/bk,l1r/be/S_ItemColor,TOP_LEVEL
be/bl,l1r/be/S_ItemDesc,TOP_LEVEL
be/bm,l1r/be/S_ItemName,TOP_LEVEL
be/bn,l1r/be/S_Karma,TOP_LEVEL
be/bo,l1r/be/S_KeeperPack,TOP_LEVEL
be/bp,l1r/be/S_Key,TOP_LEVEL
be/bq,l1r/be/S_Lawful,TOP_LEVEL
be/br,l1r/be/S_Light,TOP_LEVEL
be/bs,l1r/be/S_Liquor,TOP_LEVEL
be/bt,l1r/be/S_LoginGame,TOP_LEVEL
be/bu,l1r/be/S_LoginResult,TOP_LEVEL
be/bv,l1r/be/S_MPUpdate,TOP_LEVEL
be/bw,l1r/be/S_Mail,TOP_LEVEL
be/bx,l1r/be/S_MapID,TOP_LEVEL
be/by,l1r/be/S_MercenaryArrange,TOP_LEVEL
be/bz,l1r/be/S_MercenaryEmpoly,TOP_LEVEL
be/c,l1r/be/S_AddItem,TOP_LEVEL
be/ca,l1r/be/S_Message_YN,TOP_LEVEL
be/cb,l1r/be/S_MoveCharPacket,TOP_LEVEL
be/cc,l1r/be/S_NPCPack,TOP_LEVEL
be/cd,l1r/be/S_NewCharPacket,TOP_LEVEL
be/ce,l1r/be/S_News,TOP_LEVEL
be/cf,l1r/be/S_NpcChangeShape,TOP_LEVEL
be/cg,l1r/be/S_NpcChatPacket,TOP_LEVEL
be/ch,l1r/be/S_OtherCharPacks,TOP_LEVEL
be/ci,l1r/be/S_OwnCharAttrDef,TOP_LEVEL
be/cj,l1r/be/S_OwnCharPack,TOP_LEVEL
be/ck,l1r/be/S_OwnCharStatus,TOP_LEVEL
be/cl,l1r/be/S_OwnCharStatus2,TOP_LEVEL
be/cm,l1r/be/S_PacketBox,TOP_LEVEL
be/cn,l1r/be/S_Paralysis,TOP_LEVEL
be/co,l1r/be/S_Party,TOP_LEVEL
be/cp,l1r/be/S_PetCtrlMenu,TOP_LEVEL
be/cq,l1r/be/S_PetEquipment,TOP_LEVEL
be/cr,l1r/be/S_PetInventory,TOP_LEVEL
be/cs,l1r/be/S_PetList,TOP_LEVEL
be/ct,l1r/be/S_PetMenuPacket,TOP_LEVEL
be/cu,l1r/be/S_PetPack,TOP_LEVEL
be/cv,l1r/be/S_PinkName,TOP_LEVEL
be/cw,l1r/be/S_Pledge,TOP_LEVEL
be/cx,l1r/be/S_PledgeWarehouseHistory,TOP_LEVEL
be/cx$a,l1r/be/S_PledgeWarehouseHistory$a,INNER
be/cy,l1r/be/S_PledgeWatch,TOP_LEVEL
be/cz,l1r/be/S_Poison,TOP_LEVEL
be/d,l1r/be/S_AddSkill,TOP_LEVEL
be/da,l1r/be/S_Portal,TOP_LEVEL
be/db,l1r/be/S_PrivateShop,TOP_LEVEL
be/dc,l1r/be/S_ProtoBuffers,TOP_LEVEL
be/dd,l1r/be/S_Race,TOP_LEVEL
be/de,l1r/be/S_RangeSkill,TOP_LEVEL
be/df,l1r/be/S_Rank,TOP_LEVEL
be/dg,l1r/be/S_RedMessage,TOP_LEVEL
be/dh,l1r/be/S_RemoveObject,TOP_LEVEL
be/di,l1r/be/S_Resurrection,TOP_LEVEL
be/dj,l1r/be/S_RetrieveList,TOP_LEVEL
be/dk,l1r/be/S_RetrieveListChar,TOP_LEVEL
be/dl,l1r/be/S_RetrieveListClan,TOP_LEVEL
be/dm,l1r/be/S_RetrieveListElven,TOP_LEVEL
be/dn,l1r/be/S_RuneSlot,TOP_LEVEL
be/do,l1r/be/S_SPMR,TOP_LEVEL
be/dp,l1r/be/S_SelectTarget,TOP_LEVEL
be/dq,l1r/be/S_SellHouse,TOP_LEVEL
be/dr,l1r/be/S_SendLocation,TOP_LEVEL
be/ds,l1r/be/S_ServerMessage,TOP_LEVEL
be/dt,l1r/be/S_ServerVersion,TOP_LEVEL
be/du,l1r/be/S_ShopBuyList,TOP_LEVEL
be/dv,l1r/be/S_ShopSellList,TOP_LEVEL
be/dw,l1r/be/S_SignboardPack,TOP_LEVEL
be/dx,l1r/be/S_SkillBrave,TOP_LEVEL
be/dy,l1r/be/S_SkillBuy,TOP_LEVEL
be/dz,l1r/be/S_SkillBuyItem,TOP_LEVEL
be/e,l1r/be/S_ApplyAuction,TOP_LEVEL
be/ea,l1r/be/S_SkillHaste,TOP_LEVEL
be/eb,l1r/be/S_SkillIconAura,TOP_LEVEL
be/ec,l1r/be/S_SkillIconBlessOfEva,TOP_LEVEL
be/ed,l1r/be/S_SkillIconShield,TOP_LEVEL
be/ee,l1r/be/S_SkillSound,TOP_LEVEL
be/ef,l1r/be/S_Sound,TOP_LEVEL
be/eg,l1r/be/S_Strup,TOP_LEVEL
be/eh,l1r/be/S_SummonPack,TOP_LEVEL
be/ei,l1r/be/S_SystemMessage,TOP_LEVEL
be/ej,l1r/be/S_TaxRate,TOP_LEVEL
be/ek,l1r/be/S_Teleport,TOP_LEVEL
be/el,l1r/be/S_Trade,TOP_LEVEL
be/em,l1r/be/S_TradeAddItem,TOP_LEVEL
be/en,l1r/be/S_TradeStatus,TOP_LEVEL
be/eo,l1r/be/S_TrapPack,TOP_LEVEL
be/ep,l1r/be/S_TrueTarget,TOP_LEVEL
be/eq,l1r/be/S_War,TOP_LEVEL
be/er,l1r/be/S_WarTime,TOP_LEVEL
be/es,l1r/be/S_Weather,TOP_LEVEL
be/et,l1r/be/S_WhoCharinfo,TOP_LEVEL
be/eu,l1r/be/ServerBasePacket,TOP_LEVEL
be/f,l1r/be/S_ArcharArrange,TOP_LEVEL
be/g,l1r/be/S_AttackPacket,TOP_LEVEL
be/h,l1r/be/S_Attribute,TOP_LEVEL
be/i,l1r/be/S_AuctionBoard,TOP_LEVEL
be/j,l1r/be/S_AuctionBoardRead,TOP_LEVEL
be/k,l1r/be/S_Blink,TOP_LEVEL
be/l,l1r/be/S_Board,TOP_LEVEL
be/m,l1r/be/S_BoardRead,TOP_LEVEL
be/n,l1r/be/S_Bookmarks,TOP_LEVEL
be/o,l1r/be/S_CastleMaster,TOP_LEVEL
be/p,l1r/be/S_ChangeHeading,TOP_LEVEL
be/q,l1r/be/S_ChangeLevel,TOP_LEVEL
be/r,l1r/be/S_ChangeName,TOP_LEVEL
be/s,l1r/be/S_ChangeShape,TOP_LEVEL
be/t,l1r/be/S_CharAmount,TOP_LEVEL
be/u,l1r/be/S_CharCreateStatus,TOP_LEVEL
be/v,l1r/be/S_CharEvent,TOP_LEVEL
be/v$1,l1r/be/S_CharEvent$1,INNER
be/w,l1r/be/S_CharList,TOP_LEVEL
be/x,l1r/be/S_CharReset,TOP_LEVEL
be/y,l1r/be/S_CharTitle,TOP_LEVEL
be/z,l1r/be/S_CharVisualUpdate,TOP_LEVEL
bf/a,l1r/bf/L1SkillExecutor,TOP_LEVEL
bf/aa,l1r/bf/S_026,TOP_LEVEL
bf/ab,l1r/bf/S_027,TOP_LEVEL
bf/ac,l1r/bf/S_028,TOP_LEVEL
bf/ad,l1r/bf/S_029,TOP_LEVEL
bf/ae,l1r/bf/S_030,TOP_LEVEL
bf/af,l1r/bf/S_031,TOP_LEVEL
bf/ag,l1r/bf/S_032,TOP_LEVEL
bf/ah,l1r/bf/S_033,TOP_LEVEL
bf/ai,l1r/bf/S_034,TOP_LEVEL
bf/aj,l1r/bf/S_035,TOP_LEVEL
bf/ak,l1r/bf/S_036,TOP_LEVEL
bf/al,l1r/bf/S_037,TOP_LEVEL
bf/am,l1r/bf/S_038,TOP_LEVEL
bf/an,l1r/bf/S_039,TOP_LEVEL
bf/ao,l1r/bf/S_040,TOP_LEVEL
bf/ap,l1r/bf/S_041,TOP_LEVEL
bf/aq,l1r/bf/S_042,TOP_LEVEL
bf/ar,l1r/bf/S_043,TOP_LEVEL
bf/as,l1r/bf/S_044,TOP_LEVEL
bf/at,l1r/bf/S_045,TOP_LEVEL
bf/au,l1r/bf/S_046,TOP_LEVEL
bf/av,l1r/bf/S_047,TOP_LEVEL
bf/aw,l1r/bf/S_048,TOP_LEVEL
bf/ax,l1r/bf/S_049,TOP_LEVEL
bf/ay,l1r/bf/S_050,TOP_LEVEL
bf/az,l1r/bf/S_051,TOP_LEVEL
bf/b,l1r/bf/S_000,TOP_LEVEL
bf/ba,l1r/bf/S_052,TOP_LEVEL
bf/bb,l1r/bf/S_053,TOP_LEVEL
bf/bc,l1r/bf/S_054,TOP_LEVEL
bf/bd,l1r/bf/S_055,TOP_LEVEL
bf/be,l1r/bf/S_056,TOP_LEVEL
bf/bf,l1r/bf/S_057,TOP_LEVEL
bf/bg,l1r/bf/S_058,TOP_LEVEL
bf/bh,l1r/bf/S_059,TOP_LEVEL
bf/bi,l1r/bf/S_060,TOP_LEVEL
bf/bj,l1r/bf/S_061,TOP_LEVEL
bf/bk,l1r/bf/S_062,TOP_LEVEL
bf/bl,l1r/bf/S_063,TOP_LEVEL
bf/bm,l1r/bf/S_064,TOP_LEVEL
bf/bn,l1r/bf/S_065,TOP_LEVEL
bf/bo,l1r/bf/S_066,TOP_LEVEL
bf/bp,l1r/bf/S_067,TOP_LEVEL
bf/bq,l1r/bf/S_068,TOP_LEVEL
bf/br,l1r/bf/S_069,TOP_LEVEL
bf/bs,l1r/bf/S_070,TOP_LEVEL
bf/bt,l1r/bf/S_071,TOP_LEVEL
bf/bu,l1r/bf/S_072,TOP_LEVEL
bf/bv,l1r/bf/S_073,TOP_LEVEL
bf/bw,l1r/bf/S_074,TOP_LEVEL
bf/bx,l1r/bf/S_075,TOP_LEVEL
bf/by,l1r/bf/S_076,TOP_LEVEL
bf/bz,l1r/bf/S_077,TOP_LEVEL
bf/c,l1r/bf/S_001,TOP_LEVEL
bf/ca,l1r/bf/S_078,TOP_LEVEL
bf/cb,l1r/bf/S_079,TOP_LEVEL
bf/cc,l1r/bf/S_080,TOP_LEVEL
bf/cd,l1r/bf/S_087,TOP_LEVEL
bf/ce,l1r/bf/S_088,TOP_LEVEL
bf/cf,l1r/bf/S_089,TOP_LEVEL
bf/cg,l1r/bf/S_090,TOP_LEVEL
bf/ch,l1r/bf/S_091,TOP_LEVEL
bf/ci,l1r/bf/S_092,TOP_LEVEL
bf/cj,l1r/bf/S_097,TOP_LEVEL
bf/ck,l1r/bf/S_098,TOP_LEVEL
bf/cl,l1r/bf/S_099,TOP_LEVEL
bf/cm,l1r/bf/S_100,TOP_LEVEL
bf/cn,l1r/bf/S_101,TOP_LEVEL
bf/co,l1r/bf/S_102,TOP_LEVEL
bf/cp,l1r/bf/S_103,TOP_LEVEL
bf/cq,l1r/bf/S_104,TOP_LEVEL
bf/cr,l1r/bf/S_105,TOP_LEVEL
bf/cs,l1r/bf/S_106,TOP_LEVEL
bf/ct,l1r/bf/S_107,TOP_LEVEL
bf/cu,l1r/bf/S_108,TOP_LEVEL
bf/cv,l1r/bf/S_109,TOP_LEVEL
bf/cw,l1r/bf/S_110,TOP_LEVEL
bf/cx,l1r/bf/S_111,TOP_LEVEL
bf/cy,l1r/bf/S_112,TOP_LEVEL
bf/cz,l1r/bf/S_113,TOP_LEVEL
bf/d,l1r/bf/S_002,TOP_LEVEL
bf/da,l1r/bf/S_114,TOP_LEVEL
bf/db,l1r/bf/S_115,TOP_LEVEL
bf/dc,l1r/bf/S_116,TOP_LEVEL
bf/dd,l1r/bf/S_117,TOP_LEVEL
bf/de,l1r/bf/S_118,TOP_LEVEL
bf/df,l1r/bf/S_119,TOP_LEVEL
bf/dg,l1r/bf/S_120,TOP_LEVEL
bf/dh,l1r/bf/S_121,TOP_LEVEL
bf/di,l1r/bf/S_122,TOP_LEVEL
bf/dj,l1r/bf/S_129,TOP_LEVEL
bf/dk,l1r/bf/S_130,TOP_LEVEL
bf/dl,l1r/bf/S_131,TOP_LEVEL
bf/dm,l1r/bf/S_132,TOP_LEVEL
bf/dn,l1r/bf/S_133,TOP_LEVEL
bf/do,l1r/bf/S_134,TOP_LEVEL
bf/dp,l1r/bf/S_135,TOP_LEVEL
bf/dq,l1r/bf/S_137,TOP_LEVEL
bf/dr,l1r/bf/S_138,TOP_LEVEL
bf/ds,l1r/bf/S_145,TOP_LEVEL
bf/dt,l1r/bf/S_146,TOP_LEVEL
